dataset,nu,auc,n_support,fit_time_s
glass,0.5,0.426016,103,0.01
heart270_2_16_variant1,0.01,1.0,18,0.0
heart270_2_16_variant1,0.05,0.999583,18,0.0
heart270_2_16_variant1,0.1,0.986667,23,0.0
heart270_2_16_variant1,0.2,0.988333,35,0.0
heart270_2_16_variant1,0.3,0.984583,51,0.01
heart270_2_16_variant1,0.5,0.980417,77,0.01
hepatitis_2_9_variant1,0.01,1.0,14,0.0
hepatitis_2_9_variant1,0.05,1.0,13,0.0
hepatitis_2_9_variant1,0.1,0.998693,16,0.0
hepatitis_2_9_variant1,0.2,0.997386,24,0.0
hepatitis_2_9_variant1,0.3,0.993464,29,0.0
hepatitis_2_9_variant1,0.5,0.992157,44,0.0
horse_1_12_variant1,0.01,0.926913,24,0.01
horse_1_12_variant1,0.05,0.913251,24,0.0
horse_1_12_variant1,0.1,0.910178,34,0.01
horse_1_12_variant1,0.2,0.930328,57,0.01
horse_1_12_variant1,0.3,0.947746,82,0.01
horse_1_12_variant1,0.5,0.951503,129,0.02
ionosphere_b_24_variant1,0.01,1.0,7,0.0
ionosphere_b_24_variant1,0.05,1.0,12,0.0
ionosphere_b_24_variant1,0.1,0.99963,25,0.0
ionosphere_b_24_variant1,0.2,0.99963,48,0.01
ionosphere_b_24_variant1,0.3,0.999444,70,0.01
ionosphere_b_24_variant1,0.5,0.999444,113,0.01
iris_Irisvirginica_11_variant1,0.01,1.0,3,0.0
iris_Irisvirginica_11_variant1,0.05,1.0,7,0.0
iris_Irisvirginica_11_variant1,0.1,1.0,12,0.0
iris_Irisvirginica_11_variant1,0.2,1.0,20,0.0
iris_Irisvirginica_11_variant1,0.3,1.0,32,0.0
iris_Irisvirginica_11_variant1,0.5,1.0,51,0.0
letter,0.01,0.464633,19,0.01
letter,0.05,0.46414,81,0.05
letter,0.1,0.468333,155,0.1
letter,0.2,0.47602,302,0.18
letter,0.3,0.4803,452,0.25
letter,0.5,0.48902,753,0.42
