dataset,variant,auc,best_dim,best_lambda
zoo_variant1,normalized_only,0.9762,32,0.0
zoo_variant1,normrbf_only,0.9692,32,0.0
sick_sick_72_variant1,Full,0.8451,32,1.0
sick_sick_72_variant1,w/o_scatter,0.6156,16,0.0
sick_sick_72_variant1,w/o_cross,0.7327,128,0.1
sick_sick_72_variant1,single_kernel,0.854,32,10.0
sick_sick_72_variant1,normalized_only,0.8478,64,1000.0
sick_sick_72_variant1,normrbf_only,0.804,128,100.0
autos_variant1,Full,0.8049,256,10.0
autos_variant1,w/o_scatter,0.6964,64,0.0
autos_variant1,w/o_cross,0.8018,256,0.1
autos_variant1,single_kernel,0.8373,32,10.0
autos_variant1,normalized_only,0.8302,256,100.0
autos_variant1,normrbf_only,0.7627,32,1000.0
annealing_variant1,Full,0.8733,16,10.0
annealing_variant1,w/o_scatter,0.5925,32,0.0
annealing_variant1,w/o_cross,0.7682,16,100.0
annealing_variant1,single_kernel,0.8787,64,100.0
annealing_variant1,normalized_only,0.8971,128,1000.0
annealing_variant1,normrbf_only,0.7407,16,1000.0
lymphography,Full,1.0,16,1.0
lymphography,w/o_scatter,0.7441,256,0.0
lymphography,w/o_cross,1.0,64,0.1
lymphography,single_kernel,1.0,16,0.1
lymphography,normalized_only,0.9953,128,10.0
lymphography,normrbf_only,1.0,16,1.0
bands_band_6_variant1,Full,0.9573,128,10.0
bands_band_6_variant1,w/o_scatter,0.5171,32,0.0
bands_band_6_variant1,w/o_cross,0.9541,256,0.1
bands_band_6_variant1,single_kernel,0.9199,64,0.1
bands_band_6_variant1,normalized_only,0.9669,32,10.0
bands_band_6_variant1,normrbf_only,0.9167,16,0.1
audiology_variant1,Full,0.9756,16,100.0
audiology_variant1,w/o_scatter,0.6592,64,0.0
audiology_variant1,w/o_cross,0.9707,16,0.1
audiology_variant1,single_kernel,0.9713,128,0.1
audiology_variant1,normalized_only,0.9804,16,100.0
audiology_variant1,normrbf_only,0.9449,128,1.0
