dataset,seed,nu_0.01,nu_0.02,nu_0.05,nu_0.1,nu_0.15,nu_0.2,nu_0.3,nu_0.5
sick_sick_72_variant1,1,0.736393437480394,0.7604382332643203,0.7691197691197691,0.7277040592257984,0.7237279628583977,0.7671670117322291,0.7987483530961792,0.7975092540309932
sick_sick_72_variant1,2,0.8459360687621558,0.8083788192483845,0.7770327498588369,0.7721077231946797,0.7839889579020013,0.7994149570236526,0.8213736746345442,0.830957086391869
lymphography,0,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.9906103286384977
lymphography,1,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489,0.9953051643192489
lymphography,2,0.9976525821596244,0.9976525821596244,0.9976525821596244,0.9953051643192489,0.9953051643192489,1.0,1.0,1.0
tic_tac_toe_negative_69_variant1,0,0.8704912719359171,0.9092003519007269,0.7446404593230541,0.8722507755706811,0.9702736491179331,0.9893040700097235,0.9899986109181831,0.9888873454646478
tic_tac_toe_negative_69_variant1,1,0.4522850395888318,0.469833773209242,0.6169375376209658,0.8255776265222022,0.9100801037181091,0.956614344584896,0.9838866509237394,0.986479603648655
tic_tac_toe_negative_69_variant1,2,0.8305783210631106,0.8459971292309117,0.8065935083576423,0.9131360837153308,0.9539750891327499,0.9892577672824929,0.9944436727323239,0.9911098763717182
wine,0,0.3525423728813559,0.17796610169491525,0.3813559322033898,0.0033898305084745675,0.07288135593220339,0.12372881355932203,0.03898305084745762,0.050847457627118633
wine,1,0.6186440677966102,0.6067796610169492,0.6491525423728814,0.6101694915254238,0.14237288135593218,0.09830508474576272,0.21864406779661014,0.3338983050847458
wine,2,0.9593220338983052,0.3559322033898305,0.34576271186440677,0.2033898305084746,0.1406779661016949,0.13559322033898305,0.059322033898305065,0.1271186440677966
tic_tac_toe_negative_12_variant1,0,0.42305644302449413,0.19116080937167199,0.31230031948881787,0.008253461128860485,0.0,0.0,0.0,0.0
tic_tac_toe_negative_12_variant1,1,0.5838658146964857,0.3317358892438765,0.4914802981895633,0.5873269435569755,0.9161341853035143,0.8367944621938233,0.8562300319488817,0.9318423855165069
tic_tac_toe_negative_12_variant1,2,0.5497870074547391,0.5433972310969115,0.6403088391906284,0.8285410010649628,0.900692225772098,0.9877529286474973,0.9938764643237487,0.9901490947816827
ecoli,0,0.9066121336059987,0.9079754601226994,0.920245398773006,0.901840490797546,0.8916155419222903,0.8820722563053851,0.876618950238582,0.896387184730743
ecoli,1,0.9032038173142468,0.903885480572597,0.8970688479890935,0.8929788684389912,0.874573960463531,0.8711656441717792,0.876618950238582,0.9134287661895024
ecoli,2,0.9331970006816632,0.9331970006816632,0.9222903885480572,0.9032038173142467,0.8922972051806407,0.880027266530334,0.863667348329925,0.869120654396728
pageblocks_1_258_variant1,0,0.9657393998479271,0.9576230545222794,0.9752471186579714,0.9742611680596176,0.9564241385946813,0.9499310623341631,0.9456512479768293,0.9252822973753208
pageblocks_1_258_variant1,1,0.9379844961240309,0.9710793082886106,0.9723933832460965,0.9715399444081615,0.9614690506163375,0.955949304786514,0.951973951973952,0.9311648730253381
pageblocks_1_258_variant1,2,0.9344114111555972,0.9715099715099714,0.9772300625013803,0.9790363239975644,0.9714847311746536,0.9646903484112787,0.9559729676008747,0.9328859483898244
ionosphere_b_24_variant1,0,1.0,1.0,1.0,0.9981563421828908,0.9952064896755162,0.9915191740412979,0.9904129793510325,0.9882005899705014
ionosphere_b_24_variant1,1,1.0,1.0,1.0,0.9992625368731564,0.9974188790560472,0.9948377581120944,0.9911504424778761,0.9900442477876106
ionosphere_b_24_variant1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985250737463126
wbc_malignant_39_variant1,0,0.9173019173019172,0.912912912912913,0.9758604758604759,0.9898359898359897,0.9898359898359899,0.9898359898359899,0.9898359898359897,0.9898359898359899
wbc_malignant_39_variant1,1,0.8922383922383923,0.8863478863478863,0.9812889812889813,0.9905289905289906,0.9923769923769924,0.9927234927234928,0.9928389928389928,0.992954492954493
wbc_malignant_39_variant1,2,0.9638484638484638,0.9633864633864634,0.9797874797874797,0.9838299838299839,0.9844074844074844,0.9846384846384847,0.9846384846384848,0.9847539847539847
