dataset,hidden_neurons,epochs,auc,fit_s
bands_band_27_variant1,"[64, 32]",50,0.728158,0.2
bands_band_27_variant1,"[64, 32]",100,0.728158,0.3
bands_band_27_variant1,"[128, 64]",50,0.732194,0.1
bands_band_27_variant1,"[128, 64]",100,0.732194,0.3
bands_band_27_variant1,"[32, 16]",50,0.719492,0.1
bands_band_27_variant1,"[32, 16]",100,0.719492,0.3
bands_band_42_variant1,"[64, 32]",50,0.748703,0.1
bands_band_42_variant1,"[64, 32]",100,0.748703,0.3
bands_band_42_variant1,"[128, 64]",50,0.717872,0.2
bands_band_42_variant1,"[128, 64]",100,0.717872,0.2
bands_band_42_variant1,"[32, 16]",50,0.710394,0.1
bands_band_42_variant1,"[32, 16]",100,0.710394,0.2
ecoli,"[64, 32]",50,0.83928,0.1
ecoli,"[64, 32]",100,0.83928,0.3
ecoli,"[128, 64]",50,0.885831,0.1
ecoli,"[128, 64]",100,0.885831,0.3
ecoli,"[32, 16]",50,0.927285,0.2
ecoli,"[32, 16]",100,0.927285,0.2
thyroid_disease_variant1,"[64, 32]",50,0.660802,3.6
thyroid_disease_variant1,"[64, 32]",100,0.660802,7.2
thyroid_disease_variant1,"[128, 64]",50,0.645999,3.8
thyroid_disease_variant1,"[128, 64]",100,0.645999,7.3
thyroid_disease_variant1,"[32, 16]",50,0.608471,2.2
thyroid_disease_variant1,"[32, 16]",100,0.608471,4.3
cardiotocography_2and3_33_variant1,"[64, 32]",50,0.795606,0.7
cardiotocography_2and3_33_variant1,"[64, 32]",100,0.795606,1.3
cardiotocography_2and3_33_variant1,"[128, 64]",50,0.80368,0.7
cardiotocography_2and3_33_variant1,"[128, 64]",100,0.80368,1.4
cardiotocography_2and3_33_variant1,"[32, 16]",50,0.91083,0.5
cardiotocography_2and3_33_variant1,"[32, 16]",100,0.91083,0.8
thyroid,"[64, 32]",50,0.981078,1.5
thyroid,"[64, 32]",100,0.981078,2.9
thyroid,"[128, 64]",50,0.98009,1.5
thyroid,"[128, 64]",100,0.98009,3.1
thyroid,"[32, 16]",50,0.98508,0.9
thyroid,"[32, 16]",100,0.98508,1.8
sonar_M_10_variant1,"[64, 32]",50,0.947423,0.1
sonar_M_10_variant1,"[64, 32]",100,0.947423,0.1
sonar_M_10_variant1,"[128, 64]",50,0.985567,0.0
sonar_M_10_variant1,"[128, 64]",100,0.985567,0.1
sonar_M_10_variant1,"[32, 16]",50,0.895876,0.1
sonar_M_10_variant1,"[32, 16]",100,0.895876,0.1
arrhythmia_variant1,"[64, 32]",50,0.743209,0.2
arrhythmia_variant1,"[64, 32]",100,0.743209,0.4
arrhythmia_variant1,"[128, 64]",50,0.743916,0.2
arrhythmia_variant1,"[128, 64]",100,0.743916,0.4
arrhythmia_variant1,"[32, 16]",50,0.7668,0.2
arrhythmia_variant1,"[32, 16]",100,0.7668,0.4
cardio,"[64, 32]",50,0.974516,0.7
cardio,"[64, 32]",100,0.974516,1.3
cardio,"[128, 64]",50,0.957151,0.7
cardio,"[128, 64]",100,0.957151,1.4
cardio,"[32, 16]",50,0.978529,0.5
cardio,"[32, 16]",100,0.978529,0.9
ionosphere_b_24_variant1,"[64, 32]",50,0.983519,0.1
ionosphere_b_24_variant1,"[64, 32]",100,0.983519,0.2
ionosphere_b_24_variant1,"[128, 64]",50,0.999259,0.1
ionosphere_b_24_variant1,"[128, 64]",100,0.999259,0.2
ionosphere_b_24_variant1,"[32, 16]",50,0.96537,0.1
ionosphere_b_24_variant1,"[32, 16]",100,0.96537,0.2
hepatitis_2_9_variant1,"[64, 32]",50,0.992157,0.1
hepatitis_2_9_variant1,"[64, 32]",100,0.992157,0.1
hepatitis_2_9_variant1,"[128, 64]",50,0.981699,0.0
hepatitis_2_9_variant1,"[128, 64]",100,0.981699,0.1
hepatitis_2_9_variant1,"[32, 16]",50,0.95817,0.0
hepatitis_2_9_variant1,"[32, 16]",100,0.95817,0.1
sick_sick_72_variant1,"[64, 32]",50,0.782061,1.5
sick_sick_72_variant1,"[64, 32]",100,0.782061,3.0
sick_sick_72_variant1,"[128, 64]",50,0.78452,1.4
sick_sick_72_variant1,"[128, 64]",100,0.78452,2.7
sick_sick_72_variant1,"[32, 16]",50,0.813192,0.9
sick_sick_72_variant1,"[32, 16]",100,0.813192,1.7
wine,"[64, 32]",50,0.872269,0.1
wine,"[64, 32]",100,0.872269,0.1
wine,"[128, 64]",50,0.951261,0.1
wine,"[128, 64]",100,0.951261,0.1
wine,"[32, 16]",50,0.926891,0.0
wine,"[32, 16]",100,0.926891,0.1
abalone_variant1,"[64, 32]",50,0.515225,1.7
abalone_variant1,"[64, 32]",100,0.515225,3.2
abalone_variant1,"[128, 64]",50,0.643111,1.8
abalone_variant1,"[128, 64]",100,0.643111,3.2
abalone_variant1,"[32, 16]",50,0.62097,1.0
abalone_variant1,"[32, 16]",100,0.62097,2.0
waveform_0_100_variant1,"[64, 32]",50,0.638274,1.4
waveform_0_100_variant1,"[64, 32]",100,0.638274,2.7
waveform_0_100_variant1,"[128, 64]",50,0.673165,1.4
waveform_0_100_variant1,"[128, 64]",100,0.673165,2.8
waveform_0_100_variant1,"[32, 16]",50,0.698208,0.8
waveform_0_100_variant1,"[32, 16]",100,0.698208,1.6
